Exposure started time stamp,Exposure ended time stamp,Wavelength,Intensity
N/A,N/A,414.82169228227747,608.5999755859375
N/A,N/A,415.25090418320531,609.45001220703125
N/A,N/A,415.68010857356438,612.4124755859375
N/A,N/A,416.10930544753882,623.1624755859375
N/A,N/A,416.53849479931228,620.13751220703125
N/A,N/A,416.96767662307013,617.7750244140625
N/A,N/A,417.39685091299629,626.6624755859375
N/A,N/A,417.82601766327571,626.04998779296875
N/A,N/A,418.25517686809422,621.42498779296875
N/A,N/A,418.68432852163721,628.17498779296875
N/A,N/A,419.1134726180901,631.48748779296875
N/A,N/A,419.54260915163894,624.8375244140625
N/A,N/A,419.97173811647104,630.07501220703125
N/A,N/A,420.40085950677138,632.32501220703125
N/A,N/A,420.82997331672868,628.23748779296875
N/A,N/A,421.25907954052911,630.4000244140625
N/A,N/A,421.68817817236027,635.61248779296875
N/A,N/A,422.11726920640979,630.2249755859375
N/A,N/A,422.54635263686635,630.9124755859375
N/A,N/A,422.97542845791719,634.2750244140625
N/A,N/A,423.40449666375218,631.67498779296875
N/A,N/A,423.83355724855932,631.25
N/A,N/A,424.2626102065276,637.1500244140625
N/A,N/A,424.69165553184735,632.48748779296875
N/A,N/A,425.12069321870723,630.63751220703125
N/A,N/A,425.54972326129814,635.0625
N/A,N/A,425.97874565381039,633.6875
N/A,N/A,426.40776039043334,631.2874755859375
N/A,N/A,426.83676746535878,633.1500244140625
N/A,N/A,427.26576687277827,634.5875244140625
N/A,N/A,427.69475860688249,631.92498779296875
N/A,N/A,428.12374266186305,634.0374755859375
N/A,N/A,428.552719031912,634.9375
N/A,N/A,428.98168771122221,632.04998779296875
N/A,N/A,429.41064869398565,632.125
N/A,N/A,429.83960197439552,634.54998779296875
N/A,N/A,430.26854754664464,632.13751220703125
N/A,N/A,430.69748540492651,632.88751220703125
N/A,N/A,431.12641554343509,634.1500244140625
N/A,N/A,431.55533795636416,632.375
N/A,N/A,431.98425263790773,632.3125
N/A,N/A,432.41315958226079,634
N/A,N/A,432.84205878361831,633.3375244140625
N/A,N/A,433.2709502361746,631.23748779296875
N/A,N/A,433.69983393412622,633.26251220703125
N/A,N/A,434.12870987166804,633.7249755859375
N/A,N/A,434.55757804299628,631.1624755859375
N/A,N/A,434.98643844230747,632.57501220703125
N/A,N/A,435.415291063798,633.38751220703125
N/A,N/A,435.8441359016648,631.25
N/A,N/A,436.2729729501051,631.01251220703125
N/A,N/A,436.70180220331645,633.17498779296875
N/A,N/A,437.13062365549655,632.25
N/A,N/A,437.55943730084294,631.3499755859375
N/A,N/A,437.98824313355505,634.32501220703125
N/A,N/A,438.41704114783056,631.76251220703125
N/A,N/A,438.84583133786884,631.5
N/A,N/A,439.27461369786909,633.38751220703125
N/A,N/A,439.70338822203064,631.6500244140625
N/A,N/A,440.13215490455337,632.54998779296875
N/A,N/A,440.56091373963824,632.01251220703125
N/A,N/A,440.98966472148396,632.54998779296875
N/A,N/A,441.41840784429252,631.07501220703125
N/A,N/A,441.84714310226525,632.0999755859375
N/A,N/A,442.27587048960237,632.26251220703125
N/A,N/A,442.70459000050556,631.75
N/A,N/A,443.13330162917759,632.4375
N/A,N/A,443.5620053698201,631.4000244140625
N/A,N/A,443.99070121663556,631.42498779296875
N/A,N/A,444.41938916382708,631.3499755859375
N/A,N/A,444.84806920559708,633.0625
N/A,N/A,445.27674133614988,631.3375244140625
N/A,N/A,445.70540554968863,630.5250244140625
N/A,N/A,446.13406184041753,632.4375
N/A,N/A,446.56271020254087,630.7750244140625
N/A,N/A,446.9913506302629,630.42498779296875
N/A,N/A,447.41998311778872,632
N/A,N/A,447.84860765932359,630.73748779296875
N/A,N/A,448.27722424907364,630.4375
N/A,N/A,448.70583288124362,630.9749755859375
N/A,N/A,449.13443355004023,631.23748779296875
N/A,N/A,449.56302624967009,630.5
N/A,N/A,449.99161097433927,632.92498779296875
N/A,N/A,450.42018771825531,632.3499755859375
N/A,N/A,450.84875647562512,630.73748779296875
N/A,N/A,451.27731724065666,631.375
N/A,N/A,451.70587000755825,632
N/A,N/A,452.13441477053755,630.48748779296875
N/A,N/A,452.56295152380318,630.7874755859375
N/A,N/A,452.99148026156422,630.42498779296875
N/A,N/A,453.42000097802986,630.2125244140625
N/A,N/A,453.84851366740941,630.38751220703125
N/A,N/A,454.27701832391313,630.73748779296875
N/A,N/A,454.70551494175004,630.57501220703125
N/A,N/A,455.13400351513155,629.6624755859375
N/A,N/A,455.56248403826811,630.98748779296875
N/A,N/A,455.99095650537066,631.9124755859375
N/A,N/A,456.41942091065056,630.92498779296875
N/A,N/A,456.84787724832017,630.25
N/A,N/A,457.27632551259,630.4625244140625
N/A,N/A,457.70476569767334,630.7874755859375
N/A,N/A,458.13319779778243,631.1500244140625
N/A,N/A,458.56162180713056,631.2874755859375
N/A,N/A,458.99003771993074,630.7874755859375
N/A,N/A,459.41844553039624,629.9124755859375
N/A,N/A,459.84684523274126,629.5250244140625
N/A,N/A,460.27523682117936,630.625
N/A,N/A,460.70362028992582,629.4749755859375
N/A,N/A,461.131995633195,629.48748779296875
N/A,N/A,461.56036284520178,631.0999755859375
N/A,N/A,461.98872192016205,630.36248779296875
N/A,N/A,462.41707285229143,630.01251220703125
N/A,N/A,462.84541563580569,631.42498779296875
N/A,N/A,463.27375026492092,629.26251220703125
N/A,N/A,463.70207673385477,630.67498779296875
N/A,N/A,464.1303950368233,630.4749755859375
N/A,N/A,464.55870516804447,630.7874755859375
N/A,N/A,464.98700712173547,629.1500244140625
N/A,N/A,465.41530089211471,630.0250244140625
N/A,N/A,465.84358647339974,630.0625
N/A,N/A,466.27186385980997,630.875
N/A,N/A,466.70013304556375,629.2750244140625
N/A,N/A,467.12839402488049,630.6500244140625
N/A,N/A,467.55664679197969,629.95001220703125
N/A,N/A,467.98489134108115,631.1500244140625
N/A,N/A,468.41312766640539,629.7874755859375
N/A,N/A,468.84135576217255,630.38751220703125
N/A,N/A,469.26957562260361,630.2750244140625
N/A,N/A,469.69778724191985,629.4375
N/A,N/A,470.12599061434219,628.8125
N/A,N/A,470.55418573409338,630.2125244140625
N/A,N/A,470.98237259539434,630.2874755859375
N/A,N/A,471.41055119246863,630.5
N/A,N/A,471.83872151953892,630.04998779296875
N/A,N/A,472.2668835708277,630.23748779296875
N/A,N/A,472.69503734055849,629.70001220703125
N/A,N/A,473.12318282295541,629.3125
N/A,N/A,473.55132001224212,629.86248779296875
N/A,N/A,473.97944890264353,629.3375244140625
N/A,N/A,474.4075694883839,628.9375
N/A,N/A,474.83568176368863,629.0374755859375
N/A,N/A,475.263785722783,629.32501220703125
N/A,N/A,475.69188135989242,630.54998779296875
N/A,N/A,476.11996866924341,629.4000244140625
N/A,N/A,476.54804764506196,628.125
N/A,N/A,476.976118281575,628.51251220703125
N/A,N/A,477.40418057300934,630.0625
N/A,N/A,477.83223451359254,630.25
N/A,N/A,478.2602800975522,629.4749755859375
N/A,N/A,478.68831731911666,627.73748779296875
N/A,N/A,479.11634617251343,629.9000244140625
N/A,N/A,479.54436665197164,629.9625244140625
N/A,N/A,479.97237875172112,628.7874755859375
N/A,N/A,480.40038246598971,628.6624755859375
N/A,N/A,480.82837778900807,630.2874755859375
N/A,N/A,481.25636471500627,629.875
N/A,N/A,481.68434323821418,628.7750244140625
N/A,N/A,482.11231335286266,629.4124755859375
N/A,N/A,482.54027505318265,629.61248779296875
N/A,N/A,482.96822833340582,629.9124755859375
N/A,N/A,483.39617318776305,631.25
