ROI,Frame,Wavelength,Row,Column,Intensity
1,2,414.82169228227747,0,0,613.1500244140625
1,2,415.25090418320531,0,1,615.75
1,2,415.68010857356438,0,2,618.125
1,2,416.10930544753882,0,3,627.8375244140625
1,2,416.53849479931228,0,4,625.9625244140625
1,2,416.96767662307013,0,5,621.82501220703125
1,2,417.39685091299629,0,6,631.57501220703125
1,2,417.82601766327571,0,7,628.2125244140625
1,2,418.25517686809422,0,8,625.70001220703125
1,2,418.68432852163721,0,9,632.07501220703125
1,2,419.1134726180901,0,10,634.5999755859375
1,2,419.54260915163894,0,11,628.88751220703125
1,2,419.97173811647104,0,12,634.4124755859375
1,2,420.40085950677138,0,13,636.9124755859375
1,2,420.82997331672868,0,14,631.5875244140625
1,2,421.25907954052911,0,15,634.23748779296875
1,2,421.68817817236027,0,16,639.04998779296875
1,2,422.11726920640979,0,17,634.8125
1,2,422.54635263686635,0,18,634.45001220703125
1,2,422.97542845791719,0,19,638.88751220703125
1,2,423.40449666375218,0,20,636.8375244140625
1,2,423.83355724855932,0,21,633.6500244140625
1,2,424.2626102065276,0,22,639.8125
1,2,424.69165553184735,0,23,637.38751220703125
1,2,425.12069321870723,0,24,634.76251220703125
1,2,425.54972326129814,0,25,637.4625244140625
1,2,425.97874565381039,0,26,639.01251220703125
1,2,426.40776039043334,0,27,634.9625244140625
1,2,426.83676746535878,0,28,637.625
1,2,427.26576687277827,0,29,638.7874755859375
1,2,427.69475860688249,0,30,635.54998779296875
1,2,428.12374266186305,0,31,636.7750244140625
1,2,428.552719031912,0,32,639
1,2,428.98168771122221,0,33,636.8375244140625
1,2,429.41064869398565,0,34,637.375
1,2,429.83960197439552,0,35,637.76251220703125
1,2,430.26854754664464,0,36,636.2750244140625
1,2,430.69748540492651,0,37,634.9000244140625
1,2,431.12641554343509,0,38,638.5250244140625
1,2,431.55533795636416,0,39,635.20001220703125
1,2,431.98425263790773,0,40,635.42498779296875
1,2,432.41315958226079,0,41,638.125
1,2,432.84205878361831,0,42,636.63751220703125
1,2,433.2709502361746,0,43,634.54998779296875
1,2,433.69983393412622,0,44,636.4749755859375
1,2,434.12870987166804,0,45,636.54998779296875
1,2,434.55757804299628,0,46,634.7125244140625
1,2,434.98643844230747,0,47,636.4375
1,2,435.415291063798,0,48,636.8125
1,2,435.8441359016648,0,49,635.26251220703125
1,2,436.2729729501051,0,50,636.1875
1,2,436.70180220331645,0,51,636.5875244140625
1,2,437.13062365549655,0,52,634.5250244140625
1,2,437.55943730084294,0,53,635.57501220703125
1,2,437.98824313355505,0,54,636.57501220703125
1,2,438.41704114783056,0,55,635
1,2,438.84583133786884,0,56,635.7249755859375
1,2,439.27461369786909,0,57,635.29998779296875
1,2,439.70338822203064,0,58,634.98748779296875
1,2,440.13215490455337,0,59,634.5250244140625
1,2,440.56091373963824,0,60,636.3499755859375
1,2,440.98966472148396,0,61,634.9000244140625
1,2,441.41840784429252,0,62,634.42498779296875
1,2,441.84714310226525,0,63,635.79998779296875
