ROI,Frame,Wavelength,Row,Column,Intensity
1,1,414.82169228227747,0,0,612.5999755859375
1,1,415.25090418320531,0,1,615.07501220703125
1,1,415.68010857356438,0,2,616.70001220703125
1,1,416.10930544753882,0,3,624.6500244140625
1,1,416.53849479931228,0,4,623.1500244140625
1,1,416.96767662307013,0,5,620.88751220703125
1,1,417.39685091299629,0,6,630.3499755859375
1,1,417.82601766327571,0,7,629.0374755859375
1,1,418.25517686809422,0,8,626.04998779296875
1,1,418.68432852163721,0,9,632.2750244140625
1,1,419.1134726180901,0,10,633.0250244140625
1,1,419.54260915163894,0,11,628.2750244140625
1,1,419.97173811647104,0,12,634.07501220703125
1,1,420.40085950677138,0,13,635.3499755859375
1,1,420.82997331672868,0,14,631.9749755859375
1,1,421.25907954052911,0,15,632.6624755859375
1,1,421.68817817236027,0,16,637.86248779296875
1,1,422.11726920640979,0,17,633.76251220703125
1,1,422.54635263686635,0,18,634.875
1,1,422.97542845791719,0,19,638.61248779296875
1,1,423.40449666375218,0,20,636.01251220703125
1,1,423.83355724855932,0,21,634.20001220703125
1,1,424.2626102065276,0,22,637.70001220703125
1,1,424.69165553184735,0,23,636.7125244140625
1,1,425.12069321870723,0,24,635.36248779296875
1,1,425.54972326129814,0,25,635.8499755859375
1,1,425.97874565381039,0,26,636.57501220703125
1,1,426.40776039043334,0,27,635.5374755859375
1,1,426.83676746535878,0,28,637.0625
1,1,427.26576687277827,0,29,637.29998779296875
1,1,427.69475860688249,0,30,634.01251220703125
1,1,428.12374266186305,0,31,636.67498779296875
1,1,428.552719031912,0,32,636.7874755859375
1,1,428.98168771122221,0,33,634.73748779296875
1,1,429.41064869398565,0,34,634.9124755859375
1,1,429.83960197439552,0,35,637.92498779296875
1,1,430.26854754664464,0,36,634.61248779296875
1,1,430.69748540492651,0,37,635.7249755859375
1,1,431.12641554343509,0,38,637.0625
1,1,431.55533795636416,0,39,636.7874755859375
1,1,431.98425263790773,0,40,633.5374755859375
1,1,432.41315958226079,0,41,635.88751220703125
1,1,432.84205878361831,0,42,636.7249755859375
1,1,433.2709502361746,0,43,633.38751220703125
1,1,433.69983393412622,0,44,638.0875244140625
1,1,434.12870987166804,0,45,634.20001220703125
1,1,434.55757804299628,0,46,634.7125244140625
1,1,434.98643844230747,0,47,634.88751220703125
1,1,435.415291063798,0,48,636.0999755859375
1,1,435.8441359016648,0,49,634.4000244140625
1,1,436.2729729501051,0,50,634.76251220703125
1,1,436.70180220331645,0,51,637.1500244140625
1,1,437.13062365549655,0,52,634.9124755859375
1,1,437.55943730084294,0,53,635.7249755859375
1,1,437.98824313355505,0,54,635.1875
1,1,438.41704114783056,0,55,634.17498779296875
1,1,438.84583133786884,0,56,634.6500244140625
1,1,439.27461369786909,0,57,634.0875244140625
1,1,439.70338822203064,0,58,635.2125244140625
1,1,440.13215490455337,0,59,634
1,1,440.56091373963824,0,60,636.0625
1,1,440.98966472148396,0,61,634.79998779296875
1,1,441.41840784429252,0,62,634.2750244140625
1,1,441.84714310226525,0,63,632.3499755859375
1,1,442.27587048960237,0,64,633.7874755859375
1,1,442.70459000050556,0,65,633.4625244140625
1,1,443.13330162917759,0,66,633.13751220703125
1,1,443.5620053698201,0,67,635.1624755859375
1,1,443.99070121663556,0,68,633.3499755859375
1,1,444.41938916382708,0,69,633.11248779296875
1,1,444.84806920559708,0,70,635.9375
1,1,445.27674133614988,0,71,634.7249755859375
1,1,445.70540554968863,0,72,633.63751220703125
1,1,446.13406184041753,0,73,633.6624755859375
1,1,446.56271020254087,0,74,633.88751220703125
1,1,446.9913506302629,0,75,633.11248779296875
1,1,447.41998311778872,0,76,634.45001220703125
1,1,447.84860765932359,0,77,633.4124755859375
1,1,448.27722424907364,0,78,633.375
1,1,448.70583288124362,0,79,633.4000244140625
1,1,449.13443355004023,0,80,634.29998779296875
1,1,449.56302624967009,0,81,632.92498779296875
1,1,449.99161097433927,0,82,632.61248779296875
1,1,450.42018771825531,0,83,633.13751220703125
1,1,450.84875647562512,0,84,633.2125244140625
1,1,451.27731724065666,0,85,633.23748779296875
1,1,451.70587000755825,0,86,634.73748779296875
1,1,452.13441477053755,0,87,634.7874755859375
1,1,452.56295152380318,0,88,632.6500244140625
1,1,452.99148026156422,0,89,633.48748779296875
1,1,453.42000097802986,0,90,632.9625244140625
1,1,453.84851366740941,0,91,632.2874755859375
1,1,454.27701832391313,0,92,632.875
1,1,454.70551494175004,0,93,632.98748779296875
1,1,455.13400351513155,0,94,632.4749755859375
1,1,455.56248403826811,0,95,633.1500244140625
1,1,455.99095650537066,0,96,632.2750244140625
1,1,456.41942091065056,0,97,632.23748779296875
1,1,456.84787724832017,0,98,631.4375
1,1,457.27632551259,0,99,633.45001220703125
1,1,457.70476569767334,0,100,633.1624755859375
1,1,458.13319779778243,0,101,632.125
1,1,458.56162180713056,0,102,632.86248779296875
1,1,458.99003771993074,0,103,631.8375244140625
1,1,459.41844553039624,0,104,631.79998779296875
1,1,459.84684523274126,0,105,633.07501220703125
1,1,460.27523682117936,0,106,631.86248779296875
1,1,460.70362028992582,0,107,632.4625244140625
1,1,461.131995633195,0,108,632.7125244140625
1,1,461.56036284520178,0,109,632.7249755859375
1,1,461.98872192016205,0,110,631.6624755859375
1,1,462.41707285229143,0,111,632.4124755859375
1,1,462.84541563580569,0,112,632.29998779296875
1,1,463.27375026492092,0,113,631.29998779296875
1,1,463.70207673385477,0,114,632.01251220703125
1,1,464.1303950368233,0,115,632.45001220703125
1,1,464.55870516804447,0,116,633.1875
1,1,464.98700712173547,0,117,631.7249755859375
1,1,465.41530089211471,0,118,631.23748779296875
1,1,465.84358647339974,0,119,632.7874755859375
1,1,466.27186385980997,0,120,632.25
1,1,466.70013304556375,0,121,632.0250244140625
1,1,467.12839402488049,0,122,630.86248779296875
1,1,467.55664679197969,0,123,631.0250244140625
1,1,467.98489134108115,0,124,631.2125244140625
1,1,468.41312766640539,0,125,630.5625
1,1,468.84135576217255,0,126,630.8375244140625
1,1,469.26957562260361,0,127,630.70001220703125
1,1,469.69778724191985,0,128,630.6624755859375
1,1,470.12599061434219,0,129,631.23748779296875
1,1,470.55418573409338,0,130,632.63751220703125
1,1,470.98237259539434,0,131,630.5625
1,1,471.41055119246863,0,132,631.375
1,1,471.83872151953892,0,133,631.8375244140625
1,1,472.2668835708277,0,134,631.42498779296875
1,1,472.69503734055849,0,135,630.82501220703125
1,1,473.12318282295541,0,136,630.4375
1,1,473.55132001224212,0,137,631.61248779296875
1,1,473.97944890264353,0,138,631.2874755859375
1,1,474.4075694883839,0,139,630.0875244140625
1,1,474.83568176368863,0,140,631.0875244140625
1,1,475.263785722783,0,141,630.7874755859375
1,1,475.69188135989242,0,142,630.4000244140625
1,1,476.11996866924341,0,143,630.4375
1,1,476.54804764506196,0,144,631.1875
1,1,476.976118281575,0,145,629.75
1,1,477.40418057300934,0,146,630.07501220703125
1,1,477.83223451359254,0,147,630.61248779296875
1,1,478.2602800975522,0,148,631.2750244140625
1,1,478.68831731911666,0,149,630.0250244140625
1,1,479.11634617251343,0,150,630.13751220703125
1,1,479.54436665197164,0,151,630.07501220703125
1,1,479.97237875172112,0,152,630.82501220703125
1,1,480.40038246598971,0,153,630.20001220703125
1,1,480.82837778900807,0,154,630.0999755859375
1,1,481.25636471500627,0,155,630.2874755859375
1,1,481.68434323821418,0,156,631.0875244140625
1,1,482.11231335286266,0,157,631.1875
1,1,482.54027505318265,0,158,631.01251220703125
1,1,482.96822833340582,0,159,630.76251220703125
1,1,483.39617318776305,0,160,630.1500244140625
1,1,483.82410961048748,0,161,630.2125244140625
1,1,484.25203759581041,0,162,630.92498779296875
1,1,484.67995713796529,0,163,631.2750244140625
1,1,485.10786823118491,0,164,630.38751220703125
1,1,485.53577086970205,0,165,630.9124755859375
1,1,485.9636650477517,0,166,630.6500244140625
1,1,486.39155075956694,0,167,630.29998779296875
1,1,486.81942799938207,0,168,630.9625244140625
1,1,487.24729676143204,0,169,630.17498779296875
1,1,487.67515703995178,0,170,629.5250244140625
1,1,488.1030088291775,0,171,629.3499755859375
1,1,488.53085212334372,0,172,630.0875244140625
1,1,488.95868691668659,0,173,629.7874755859375
1,1,489.386513203444,0,174,630.2874755859375
1,1,489.814330977851,0,175,631.70001220703125
1,1,490.24214023414544,0,176,630.375
1,1,490.66994096656458,0,177,629.07501220703125
1,1,491.09773316934633,0,178,629.29998779296875
1,1,491.52551683672868,0,179,631.48748779296875
1,1,491.95329196295029,0,180,629.86248779296875
1,1,492.38105854224949,0,181,631.0250244140625
1,1,492.8088165688664,0,182,630.9124755859375
1,1,493.23656603703932,0,183,629.20001220703125
1,1,493.66430694100887,0,184,630.63751220703125
1,1,494.09203927501477,0,185,630.32501220703125
1,1,494.519763033298,0,186,630.4749755859375
1,1,494.94747821009895,0,187,631.5999755859375
1,1,495.37518479965945,0,188,630.3499755859375
1,1,495.80288279622022,0,189,630.625
1,1,496.23057219402375,0,190,630
1,1,496.65825298731244,0,191,630.4124755859375
1,1,497.08592517032821,0,192,628.75
1,1,497.513588737315,0,193,631.2750244140625
1,1,497.94124368251522,0,194,629.2125244140625
1,1,498.368890000173,0,195,628.51251220703125
1,1,498.7965276845315,0,196,628.2249755859375
1,1,499.22415672983652,0,197,629.75
1,1,499.65177713033142,0,198,629.125
1,1,500.0793888802624,0,199,628.2125244140625
1,1,500.50699197387365,0,200,630.9000244140625
1,1,500.93458640541155,0,201,628.9375
1,1,501.36217216912235,0,202,629.9124755859375
1,1,501.78974925925235,0,203,629.1624755859375
1,1,502.21731767004803,0,204,629.23748779296875
1,1,502.64487739575668,0,205,628.5374755859375
1,1,503.07242843062653,0,206,629.7750244140625
1,1,503.4999707689044,0,207,629.42498779296875
1,1,503.927504404839,0,208,629.92498779296875
1,1,504.35502933267895,0,209,629.67498779296875
1,1,504.78254554667296,0,210,628.7750244140625
1,1,505.21005304107047,0,211,629.42498779296875
1,1,505.63755181012124,0,212,629.5250244140625
1,1,506.06504184807426,0,213,628.95001220703125
1,1,506.4925231491813,0,214,630.9749755859375
1,1,506.91999570769235,0,215,629.38751220703125
1,1,507.34745951785845,0,216,628.9375
1,1,507.77491457393114,0,217,629.0875244140625
1,1,508.20236087016173,0,218,629.5999755859375
1,1,508.62979840080334,0,219,628.7125244140625
1,1,509.05722716010757,0,220,629.67498779296875
1,1,509.48464714232756,0,221,630.61248779296875
1,1,509.91205834171643,0,222,628.54998779296875
1,1,510.3394607525284,0,223,630.0374755859375
1,1,510.76685436901619,0,224,629.42498779296875
1,1,511.19423918543447,0,225,630.51251220703125
1,1,511.62161519603848,0,226,629.29998779296875
1,1,512.04898239508327,0,227,629.75
1,1,512.47634077682289,0,228,629.25
1,1,512.90369033551485,0,229,630.01251220703125
1,1,513.33103106541341,0,230,629.7874755859375
1,1,513.75836296077671,0,231,629.29998779296875
1,1,514.18568601586037,0,232,629.7750244140625
1,1,514.61300022492242,0,233,629.42498779296875
1,1,515.0403055822195,0,234,629.8125
1,1,515.46760208201,0,235,630.3499755859375
1,1,515.89488971855224,0,236,630.1624755859375
1,1,516.32216848610528,0,237,629.51251220703125
1,1,516.74943837892692,0,238,629.26251220703125
1,1,517.17669939127779,0,239,628.01251220703125
1,1,517.60395151741659,0,240,629.6875
1,1,518.03119475160406,0,241,629.0250244140625
1,1,518.45842908810039,0,242,629.82501220703125
1,1,518.88565452116654,0,243,628.38751220703125
1,1,519.31287104506339,0,244,629.13751220703125
1,1,519.74007865405292,0,245,630.2874755859375
1,1,520.16727734239748,0,246,629.92498779296875
1,1,520.59446710435793,0,247,629.7249755859375
1,1,521.02164793419854,0,248,629.13751220703125
1,1,521.448819826181,0,249,630.5875244140625
1,1,521.87598277456971,0,250,629.0999755859375
1,1,522.3031367736279,0,251,630.1875
1,1,522.73028181762015,0,252,629.4749755859375
1,1,523.15741790081029,0,253,629.13751220703125
1,1,523.58454501746371,0,254,629.75
1,1,524.0116631618456,0,255,628.79998779296875
1,1,524.43877232822183,0,256,629.86248779296875
1,1,524.86587251085791,0,257,629.3375244140625
1,1,525.29296370402085,0,258,629.5374755859375
1,1,525.72004590197662,0,259,629.17498779296875
1,1,526.147119098993,0,260,629.54998779296875
1,1,526.574183289337,0,261,629.73748779296875
1,1,527.001238467277,0,262,628.13751220703125
1,1,527.42828462708064,0,263,630.2874755859375
