"x","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0001.tif_1_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0002.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0003.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0004.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0005.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0006.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0007.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0008.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0009.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0010.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0011.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0012.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0013.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0014.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0015.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0016.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0017.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0018.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0019.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0020.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0021.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0022.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0023.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0024.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0025.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0026.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0027.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0028.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0029.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0030.tif_Azm=_0.00"
5.7,13.035,13.211,13.187,13.118,13.12,13.117,12.777,12.861,12.926,12.877,12.853,12.766,12.86,12.955,13.009,14.29,12.809,12.918,12.914,12.944,12.995,12.73,12.996,13.042,12.752,12.823,12.924,12.707,12.895,12.626
5.72,13.016,13.245,13.178,13.115,13.01,13.072,12.819,12.83,13.017,12.795,12.786,12.77,12.78,12.987,12.895,13.15,12.859,12.946,12.904,12.945,12.885,12.699,12.949,12.989,12.724,12.691,12.962,12.731,12.872,12.576
5.74,12.993,13.26,13.202,13.148,13.064,13.025,12.901,12.86,13.072,12.82,12.768,12.828,12.755,13.06,12.935,12.882,12.783,13.026,13.017,12.956,12.857,12.672,12.918,12.785,12.763,12.81,12.844,12.62,12.922,12.61
5.76,12.936,13.145,13.085,13.11,12.909,13.027,12.884,12.819,13.043,12.781,12.727,12.884,12.83,13.012,12.882,12.754,12.835,12.883,12.967,12.904,12.867,12.664,12.937,12.839,12.683,12.687,12.839,12.653,12.893,12.835
5.78,13.032,13.2,13.128,13.107,13.158,13.021,12.884,12.807,13.052,12.887,12.841,12.867,12.863,13.036,13.002,12.807,12.852,12.953,13.018,12.922,12.939,12.738,13.032,12.789,12.776,12.813,12.989,12.817,13.003,12.792
5.8,13.164,13.208,13.116,13.185,13.196,13.199,12.964,12.82,13.062,12.921,12.93,12.879,12.878,13.113,13.078,12.891,12.891,12.992,13.103,13.114,13.064,12.869,12.948,12.943,12.867,12.833,13.05,12.91,13.0,12.8
5.82,13.051,13.195,13.175,13.185,13.11,13.231,12.891,12.815,13.0,12.845,13.012,12.837,12.866,13.159,12.96,12.901,12.818,12.958,13.043,12.947,12.993,12.684,12.849,12.826,12.672,12.845,12.948,12.791,12.95,12.66
5.84,13.078,13.255,13.157,13.205,13.229,13.15,12.876,12.989,13.065,12.853,12.863,12.788,12.917,12.989,13.004,12.838,12.798,12.902,13.025,12.969,12.93,12.697,12.871,12.903,12.772,12.812,13.026,12.736,12.927,12.729
5.86,13.075,13.312,13.144,13.272,13.232,13.236,12.939,13.033,13.151,12.959,12.905,12.881,12.971,13.119,13.043,12.914,12.866,12.899,13.038,13.09,12.991,12.743,12.905,12.939,12.757,12.817,13.011,12.817,13.01,12.724
5.88,13.115,13.256,13.335,13.237,13.198,13.204,12.962,12.913,13.098,12.922,12.938,12.881,12.996,13.085,13.11,12.963,12.877,13.057,13.001,13.118,13.063,12.784,13.033,13.027,12.834,12.82,13.066,12.881,12.959,12.826
5.9,13.094,13.089,13.285,13.199,13.13,13.035,12.91,12.915,13.026,12.78,12.874,12.842,12.91,12.96,13.032,12.935,12.791,12.9,12.968,13.07,12.996,12.728,13.005,12.942,12.794,12.762,12.95,12.792,12.953,12.764
