"x","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0001.tif_1_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0002.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0003.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0004.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0005.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0006.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0007.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0008.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0009.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0010.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0011.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0012.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0013.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0014.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0015.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0016.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0017.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0018.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0019.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0020.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0021.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0022.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0023.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0024.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0025.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0026.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0027.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0028.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0029.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0030.tif_Azm=_0.00"
6.16,13.192,13.407,13.404,13.48,13.387,13.254,13.071,13.074,13.147,13.068,12.966,13.085,13.055,13.193,13.256,13.034,13.026,13.085,13.059,13.038,13.147,12.876,13.154,13.294,12.94,13.015,13.077,12.962,13.061,12.778
6.18,13.178,13.269,13.391,13.298,13.237,13.229,12.953,12.919,13.062,12.813,12.957,12.968,12.883,13.049,13.147,12.874,12.836,12.998,13.077,13.092,13.035,12.699,13.071,13.548,12.746,12.862,13.022,12.738,13.003,12.713
6.2,13.255,13.484,13.412,13.413,13.373,13.46,13.101,13.06,13.241,13.075,13.004,13.011,13.064,13.223,13.201,13.009,13.048,13.169,13.195,13.195,13.095,12.935,13.135,13.277,12.85,12.955,13.149,12.943,13.158,12.901
6.22,13.152,13.318,13.309,13.322,13.213,13.329,12.985,12.923,13.186,12.955,12.952,13.033,13.089,13.159,13.182,12.864,12.968,13.049,13.124,13.17,12.979,12.889,13.061,13.094,12.843,12.879,12.963,12.874,12.916,12.826
6.24,13.314,13.38,13.436,13.414,13.445,13.287,13.084,12.986,13.244,13.023,13.029,12.979,12.997,13.155,13.228,12.925,12.995,13.099,13.089,13.173,13.088,12.967,13.137,13.14,12.909,12.934,13.048,12.941,13.053,12.876
6.26,13.175,13.339,13.457,13.348,13.301,13.232,13.076,12.974,13.27,13.038,13.016,13.024,12.923,13.191,13.225,13.023,13.004,13.103,13.189,13.181,13.144,12.916,13.026,13.206,12.979,12.925,13.061,12.945,13.121,12.85
6.28,13.318,13.396,13.502,13.501,13.391,13.244,13.19,13.079,13.273,13.115,13.09,13.069,13.024,13.2,13.201,13.051,13.217,13.211,13.293,13.181,13.272,13.045,13.183,13.152,12.939,13.061,13.207,12.954,13.225,12.964
6.3,13.327,13.438,13.448,13.529,13.341,13.397,13.166,13.146,13.293,13.064,13.081,13.072,13.12,13.301,13.326,13.003,13.203,13.144,13.256,13.269,13.187,13.128,13.155,13.158,12.907,13.063,13.224,13.054,13.108,12.987
6.32,13.346,13.476,13.501,13.464,13.436,13.382,13.298,13.096,13.379,13.128,13.105,13.22,13.256,13.336,13.283,13.078,13.159,13.245,13.259,13.332,13.338,13.09,13.204,13.098,13.069,12.986,13.223,12.951,13.227,12.991
6.34,13.447,13.453,13.455,13.45,13.45,13.498,13.249,13.086,13.319,13.156,13.128,13.218,13.122,13.294,13.343,13.095,13.067,13.329,13.321,13.204,13.313,13.04,13.095,13.207,13.029,12.983,13.217,13.002,13.139,12.962
6.36,13.42,13.433,13.508,13.589,13.479,13.364,13.137,13.065,13.37,13.202,13.097,13.221,13.101,13.225,13.276,13.073,13.074,13.272,13.225,13.221,13.146,13.044,13.173,13.155,12.896,13.016,13.223,12.994,13.172,12.947
6.38,13.246,13.433,13.515,13.453,13.394,13.408,13.175,13.048,13.284,13.151,13.027,13.103,13.105,13.326,13.294,13.085,13.049,13.261,13.255,13.361,13.165,12.981,13.27,13.188,13.017,13.05,13.212,13.043,13.147,12.933
6.4,13.282,13.391,13.404,13.494,13.317,13.279,13.162,13.045,13.327,13.13,13.104,13.002,13.125,13.3,13.13,13.06,12.954,13.237,13.149,13.236,13.167,13.04,13.172,13.139,12.945,13.095,13.12,13.022,13.061,12.891
6.42,13.225,13.457,13.4,13.49,13.358,13.21,13.164,13.11,13.33,13.094,13.099,13.074,13.086,13.224,13.186,13.027,13.06,13.281,13.185,13.168,13.178,12.966,13.216,13.235,12.878,12.991,13.165,12.892,13.016,12.896
6.44,13.418,13.482,13.59,13.489,13.463,13.286,13.06,13.209,13.341,13.104,13.043,13.142,13.108,13.347,13.184,13.099,13.099,13.239,13.184,13.182,13.15,13.145,13.143,13.168,13.006,13.129,13.194,13.049,13.032,12.948
6.46,13.268,13.474,13.563,13.531,13.483,13.368,13.124,13.078,13.229,13.038,13.066,13.064,13.076,13.378,13.213,13.106,13.147,13.178,13.228,13.192,13.159,13.128,13.182,14.576,12.905,13.054,13.201,13.132,13.182,13.077
6.48,13.343,13.497,13.511,13.528,13.39,13.423,13.171,13.143,13.311,13.178,13.153,13.142,13.134,13.303,13.295,13.09,13.173,13.198,13.223,13.27,13.195,13.014,13.208,13.409,12.992,13.018,13.199,12.973,13.225,13.081
6.5,13.36,13.567,13.537,13.516,13.473,13.397,13.156,13.218,13.439,13.233,13.095,13.132,13.094,13.309,13.241,13.049,13.075,13.207,13.227,13.268,13.241,13.049,13.286,13.201,13.016,13.045,13.265,12.977,13.164,13.093
6.52,13.396,13.562,13.59,13.572,13.461,13.559,13.197,13.226,13.38,13.201,13.212,13.11,13.062,13.293,13.192,13.104,13.15,13.253,13.303,13.32,13.22,13.106,13.227,13.202,12.983,13.074,13.262,13.028,13.295,13.041
6.54,13.331,13.564,13.525,13.377,13.451,13.431,13.111,13.156,13.365,13.222,13.096,13.066,13.048,13.333,13.201,13.011,13.21,13.224,13.191,13.265,13.271,12.929,13.251,13.186,12.996,12.963,13.149,12.983,13.141,12.891
6.56,13.311,13.63,13.641,13.561,13.551,13.5,13.238,13.193,13.399,13.302,13.157,13.153,13.161,13.387,13.337,13.057,13.174,13.314,13.328,13.236,13.352,13.081,13.235,13.183,12.943,13.018,13.185,13.054,13.146,13.012
6.58,13.336,13.539,13.653,13.58,13.441,13.609,13.124,13.186,13.415,13.2,13.155,13.093,13.18,13.533,13.303,13.092,13.089,13.342,13.201,13.324,13.211,13.163,13.243,13.194,13.101,13.151,13.213,13.086,13.165,13.082
6.6,13.251,13.448,13.593,13.467,13.442,13.43,13.081,13.057,13.427,13.148,13.082,13.15,12.988,13.532,13.319,13.102,13.077,13.292,13.232,13.33,13.226,13.084,13.271,13.22,13.058,12.99,13.141,12.972,13.085,12.851
6.62,13.473,13.524,13.571,13.575,13.555,13.457,13.174,13.314,13.408,13.138,13.082,13.167,13.165,13.313,13.384,13.076,13.223,13.319,13.282,13.309,13.282,13.1,13.325,13.301,13.113,13.133,13.17,13.112,13.186,13.153
6.64,13.475,13.524,13.542,13.611,13.477,13.497,13.265,13.305,13.355,13.151,13.091,13.156,13.18,13.345,13.33,13.212,13.228,13.245,13.221,13.302,13.219,13.053,13.271,13.261,13.039,13.024,13.208,12.995,13.178,13.098
6.66,13.498,13.523,13.716,13.613,13.527,13.563,13.296,13.297,13.618,13.171,13.183,13.22,13.227,13.463,13.365,13.224,13.157,13.219,13.254,13.36,13.232,13.07,13.32,13.166,13.068,13.123,13.214,12.985,13.319,13.044
6.68,13.43,13.548,13.521,13.552,13.462,13.516,13.221,13.078,13.452,13.186,13.208,13.074,13.168,13.376,13.375,13.102,13.104,13.116,13.253,13.354,13.232,12.999,13.228,13.149,13.08,13.016,13.145,13.129,13.323,12.96
6.7,13.496,13.628,13.57,13.652,13.461,13.486,13.256,13.143,13.551,13.241,13.174,13.233,13.279,13.38,13.436,13.194,13.227,13.328,13.377,13.404,13.374,13.146,13.383,13.326,13.249,13.038,13.22,13.133,13.325,12.978
6.72,13.494,13.607,13.659,13.534,13.495,13.534,13.249,13.215,13.706,13.131,13.127,13.194,13.153,13.37,13.437,13.197,13.128,13.339,13.32,13.214,13.299,13.065,13.231,13.286,13.081,13.238,13.374,12.967,13.211,12.954
6.74,13.473,13.681,13.733,13.578,13.497,13.537,13.367,13.306,13.54,13.244,13.216,13.182,13.157,13.467,13.471,13.2,13.247,13.321,13.325,13.199,13.346,13.072,13.184,13.357,13.169,13.208,13.41,13.154,13.247,13.087
6.76,13.609,13.649,13.747,13.752,13.667,13.736,13.421,13.444,13.549,13.393,13.284,13.432,13.355,13.505,13.515,13.336,13.326,13.405,13.414,13.526,13.472,13.148,13.305,13.434,13.204,13.215,13.319,13.313,13.357,13.102
6.78,13.629,13.739,13.722,13.686,13.632,13.689,13.45,13.476,13.462,13.379,13.313,13.458,13.375,13.478,13.72,13.289,13.264,13.432,13.319,13.313,13.435,13.295,13.335,13.357,13.157,13.248,13.428,13.179,13.35,13.14
